source,sentence,cause_start,cause_end,effect_start,effect_end
MedCaus," In feeding , the tongue is dipped into the nectar or honey , which adheres to the hairs , and then is retracted so the adhering liquid is carried into the space between the galeae and labial palps . ''",1.0,102.0,113.0,191.0
MedCaus," If the cyst breaks open , pain may significantly increase with swelling of the calf . ''",4.0,19.0,25.0,79.0
MedCaus," As the sclerotome develops , it condenses further eventually developing into the vertebral body . ''",1.0,18.0,28.0,91.0
MedCaus," He subsequently published the description of the sign in a German article , making the sign more known among dermatologists . ''",1.0,66.0,75.0,109.0
MedCaus," Patients often comment that they never anticipated the possibility of a relationship break - down or death -LRB- of their partner or child -RRB- , or how that may affect their situation at the time of having their vasectomy . ''",177.0,214.0,164.0,176.0
MedCaus," According to studies performed on animals -LRB- which are not always applicable to humans -RRB- , large numbers of neurons can die during this period in response to slight , normally innocuous changes in blood flow .",166.0,215.0,99.0,150.0
MedCaus," Frogs have three eyelid membranes : one is transparent to protect the eyes underwater , and two vary from translucent to opaque .",59.0,86.0,37.0,55.0
MedCaus," Epithelial layers contain no blood vessels , so they must receive nourishment via diffusion of substances from the underlying connective tissue , through the basement membrane . ''",1.0,35.0,46.0,137.0
MedCaus, Enzyme levels can also be regulated by changing the rate of enzyme degradation .,40.0,79.0,1.0,36.0
MedCaus," Since many inventions are developed independently by more than one person , it is possible that the invention of bifocals may have been such a case . ''",1.0,67.0,75.0,143.0
MedCaus," Although the wine gallon had been used for centuries for import duty purposes there was no legal standard of it in the Exchequer and a smaller gallon -LRB- 224 cu in -RRB- was actually in use , so this statute became necessary .",1.0,192.0,198.0,227.0
MedCaus," Androstenedione was legal and able to be purchased over - the - counter , and , as a consequence , it was in common use in Major League Baseball throughout the 1990s by record - breaking sluggers like Mark McGwire .",1.0,72.0,100.0,214.0
MedCaus, Rheotaxis is a response to a current in a fluid .,28.0,48.0,1.0,15.0
MedCaus," Genetic changesSince genetic recombination has occurred , a cultivar grown from seed will have different characteristics from its parent -LRB- s -RRB- , thus should never be given a parent 's name . ''",138.0,143.0,154.0,192.0
MedCaus," However , the term '' '' intersex '' '' has also been challenged ; the Lawson Wilkins Pediatric Endocrine Society and the European Society for Pediatric Endocrinology have adopted a nomenclature system based on disorders of sex development -LRB- DSD -RRB- , which covers '' '' congenital conditions in which development of chromosomal , gonadal , or anatomical sex is atypical '' '' and thus replaces many disparate terms , including but not limited to those based on '' '' hermaphrodite '' '' .",251.0,361.0,369.0,459.0
MedCaus," However , its hydrochloride salt shows levorotation and is thus labelled -LRB- S -RRB- ` Äë -LRB- ` àí -RRB- ` Äëketamine hydrochloride . ''",9.0,39.0,60.0,103.0
MedCaus, Cervical vertebrae possess transverse foramina to allow for the vertebral arteries .,1.0,47.0,57.0,83.0
MedCaus," A very high dose is often needed early in treatment , but , if too high a dose is used persistently , patients can develop symptoms of hypothyroidism . ''",61.0,87.0,101.0,135.0
MedCaus, Other evidence of the '' '' stimulation '' '' hypothesis is that introverts salivate more than extraverts in response to a drop of lemon juice . '',107.0,128.0,47.0,85.0
MedCaus," Many authors require in addition that the sugar be bonded to a non - sugar for the molecule to qualify as a glycoside , thus excluding polysaccharides . ''",34.0,108.0,121.0,135.0
MedCaus," This interaction forces the plane of the ring sideways toward the outside of the tetramer , and also induces a strain in the protein helix containing the histidine as it moves nearer to the iron atom . ''",165.0,195.0,93.0,154.0
MedCaus," It is often impractical to store and use poisonous chlorine gas for water treatment , so alternative methods of adding chlorine are used . ''",1.0,74.0,87.0,132.0
MedCaus," In response to Gandhi 's movement , Churchill proclaimed in 1920 that Gandhi should be bound hand and foot and crushed with an elephant ridden by the viceroy . ''",13.0,25.0,35.0,150.0
MedCaus," In the context of agribusiness , a farmer is defined broadly , and thus many individuals not necessarily engaged in full - time farming can nonetheless legally qualify under agricultural policy for various subsidies , incentives , and tax deductions . ''",1.0,53.0,68.0,206.0
MedCaus," Similar to other ambulance types , as Western medicine developed , hospital trains gained the ability to provide treatment . ''",36.0,55.0,66.0,113.0
MedCaus," It contains living bacteria , and thus can spread the infection . ''",1.0,19.0,35.0,54.0
MedCaus, The individual ` Äôs communication skills should increase so that they can relate what they want to another person without engaging in this behavior .,1.0,58.0,62.0,149.0
MedCaus, These blades may be positioned at different angles in order to change the property of the burr .,1.0,51.0,64.0,95.0
MedCaus," Contrary to popular belief , nails do not continue to grow after death ; the skin dehydrates and tightens , making the nails -LRB- and hair -RRB- appear to grow .",74.0,106.0,116.0,161.0
MedCaus," Such antibodies are typically formed in response to an infection -LRB- against a given microorganism -RRB- , against other foreign proteins -LRB- in response , for example , to a mismatched blood transfusion -RRB- , or to one 's own proteins -LRB- in instances of autoimmune disease -RRB- . ''",243.0,275.0,1.0,30.0
MedCaus," The exact molecular mechanism is unknown , but as a general overview , DAXX is then phosphorylated by homeodomain - interacting protein kinase 2 -LRB- HIPK2 -RRB- , which then activates apoptosis signal - inducing kinase 1 -LRB- ASK1 -RRB- , which goes on to activate the Jun amino - terminal kinase -LRB- JNK -RRB- pathway and thus apoptosis as seen in the left panel of the adjacent image . ''",100.0,316.0,329.0,385.0
MedCaus, -LRB- The six - member board was operating with reduced membership and thus lacked the authority to elect a permanent CEO .,1.0,67.0,77.0,122.0
MedCaus, Palladium does not react with oxygen at standard temperature -LRB- and thus does not tarnish in air -RRB- .,1.0,61.0,77.0,100.0
MedCaus," Invisible zippers have the teeth hidden behind a tape , so that the zipper is invisible . ''",1.0,49.0,60.0,78.0
MedCaus," In direct smears , they may be coccoid , so they can be mistaken for streptococci . ''",18.0,31.0,42.0,69.0
MedCaus, R. D. Laing 's hypothesis has been applied to some forms of projective therapy to '' '' fix '' '' a delusional system so that it can not be altered by the patient . '',1.0,98.0,112.0,148.0
MedCaus," Also , in cooler temperatures heat is lost more rapidly through wings , thus the circumstance favors flightlessness . ''",6.0,64.0,73.0,101.0
MedCaus," Six years later Vasco da Gama reached India under Portuguese flag , by navigating south around the Cape of Good Hope , thus proving that the Atlantic and Indian Oceans are connected .",72.0,117.0,125.0,182.0
MedCaus, It is possible that this mechanism evolved to protect the mother ` Äôs health .,47.0,78.0,21.0,43.0
MedCaus," In response to the survey , Instagram stated that '' '' Keeping Instagram a safe and supportive place for young people was a top priority '' '' .",13.0,19.0,27.0,129.0
MedCaus," Dopamine is either less involved or has a more complex role in the response to punishment than it does to rewards , as the hypodopaminergic striatum allows more movement in response to aversive stimuli . ''",183.0,194.0,117.0,161.0
MedCaus," The weather station is at an elevation of 82 metres -LRB- 269 ft -RRB- , so temperatures are likely to be slightly milder in the town centre at sea level .",1.0,71.0,77.0,154.0
MedCaus," This supposed date was designed so that the year 2500 would fall on 1941 , the year when his own reign started . ''",1.0,23.0,36.0,103.0
MedCaus," According to the Greek history , King Mithridates did this in order to protect himself against attempts of poisoning , therefore this procedure is often called mithridatism .",72.0,117.0,34.0,59.0
MedCaus," However , most screw jacks have large amounts of friction which increase the input force necessary , so the actual mechanical advantage is often only 30 % to 50 % of this figure . ''",9.0,89.0,102.0,171.0
MedCaus," The MPAA has continued to pursue a number of initiatives to combat illegal distribution of films and TV shows , especially in response to new technologies . ''",136.0,142.0,1.0,104.0
MedCaus," Hydrogen peroxide has the advantage that it decomposes to form oxygen and water thus leaving no long term residues , but hydrogen peroxide as with most other strong oxidants is hazardous , and solutions are a primary irritant . ''",1.0,74.0,81.0,106.0
MedCaus," An alcoholic extract of the leaf was shown , in lab rats , to protect the liver from damage from certain poisons .",63.0,113.0,1.0,57.0
MedCaus," The period of time during which the ventricles contract , forcing blood out into the aorta and main pulmonary artery , is known as systole , while the period during which the ventricles relax and refill with blood is known as diastole . ''",33.0,47.0,59.0,110.0
MedCaus," To this end , BIOTRONIK developed the Diplos 03 , a multi - program DDD pacemaker with bilateral telemetry , which made it a European market leader and increased its presence in South America and Asia .",15.0,115.0,124.0,201.0
MedCaus, This cooling has the effect of intensifying the westerly winds which flow around the continent -LRB- the polar vortex -RRB- and thus prevents outflow of the cold air near the South Pole .,1.0,128.0,134.0,186.0
MedCaus, The muscles of the cibarium or pharynx are strongly developed to form a pump .,1.0,62.0,66.0,77.0
MedCaus," A precursor technology to augmented reality , heads - up displays were first developed for pilots in the 1950s , projecting simple flight data into their line of sight , thereby enabling them to keep their '' '' heads up '' '' and not look down at the instruments . ''",1.0,162.0,171.0,245.0
MedCaus," The only way to differentiate between the two species of eggs is to perform coproculture , which allows eggs to develop to their stage three larvae , although this is both time consuming and unreliable . ''",63.0,76.0,98.0,141.0
MedCaus," It has been suggested that the Senate may have pushed for the marriage , to end the feud between the Julian and Claudian branches . ''",13.0,62.0,72.0,121.0
MedCaus," If the cyst breaks open , pain may increase , and there may be swelling of the calf . ''",4.0,19.0,36.0,63.0
MedCaus," It is sometimes distinguished from a kinesis , a non - directional change in activity in response to a stimulus . ''",1.0,86.0,99.0,103.0
MedCaus," Consistent burning encouraged oak growth at the expense of other trees less tolerant of fire , thus keeping oaks dominant in the landscapes . ''",1.0,88.0,96.0,129.0
MedCaus," Different bisphosphonates have not been directly compared , therefore it is unknown if one is better than another . ''",1.0,49.0,61.0,106.0
MedCaus," Antlers take three to five months to fully develop , making them one of the fastest growing animal organs .",1.0,51.0,61.0,106.0
MedCaus, The macula densa 's position enables it to rapidly alter afferent arteriolar resistance in response to changes in the flow rate through the distal nephron .,104.0,155.0,1.0,88.0
MedCaus," Egg and tadpole development is very fast in comparison to those of most other frogs , so breeding can be completed before the pond dries up . ''",1.0,36.0,87.0,137.0
MedCaus, The tenderloin is the most tender cut of beef and is also arguably the most desirable and therefore the most expensive .,1.0,86.0,101.0,119.0
MedCaus, Another method of removing the alcohol is to decrease the pressure so the alcohol boils at room temperature .,46.0,67.0,71.0,108.0
MedCaus," The fetus instead develops as a plate - like structure on top of the yolk mass , and only envelopes it at a later stage . ''",1.0,4.0,19.0,74.0
MedCaus," One of the main reasons offenders are arrested , prosecuted , and convicted is to prevent further crimes ` Äì through deterrence -LRB- threatening potential offenders with criminal sanctions if they commit crimes -RRB- , incapacitation -LRB- physically preventing offenders from committing further crimes by locking them up -RRB- and through rehabilitation -LRB- using time spent under state supervision to develop skills or change one 's psychological make - up to reduce the likelihood of future offences -RRB- .",454.0,491.0,61.0,66.0
MedCaus," However , these beers are sometimes criticized for being less flavorful than full - strength beers , being '' '' watered down '' '' -LRB- whether in perception or in fact -RRB- , and thus advertising campaigns for light beers generally advertise their retention of flavor . ''",9.0,163.0,178.0,252.0
MedCaus," It is socialism that has to be constructed , and , as a rule , forcibly imposed , thus providing a far bigger role for intellectuals in its genesis . ''",1.0,72.0,83.0,140.0
MedCaus, Increased salivation to protect tooth enamel from stomach acids .,1.0,21.0,25.0,64.0
MedCaus, The implementation of cooling air has to be carefully designed so it does not directly interact with the combustion air and process .,1.0,63.0,67.0,132.0
MedCaus," When the jugal area of the forewing is developed as a free lobe , it projects beneath the humeral angle of the hindwing and thus serves to yoke the two wings together . ''",1.0,120.0,125.0,158.0
MedCaus," In this case , excess dichromate will further oxidize the aldehyde to a carboxylic acid , so either the aldehyde is distilled out as it forms -LRB- if volatile -RRB- or milder reagents such as PCC are used . ''",14.0,83.0,161.0,201.0
MedCaus," Landsteiner described the regular patterns in which reactions occurred when serum was mixed with red blood cells , thus identifying compatible and conflicting combinations between these blood groups . ''",1.0,107.0,116.0,192.0
MedCaus, Antibiotic resistance is increasing and thus treatment may not always be effective .,1.0,36.0,46.0,83.0
MedCaus," For Moniz , '' '' to cure these patients , '' '' it was necessary to '' '' destroy the more or less fixed arrangements of cellular connections that exist in the brain , and particularly those which are related to the frontal lobes , '' '' thus removing their fixed pathological brain circuits . ''",57.0,210.0,226.0,253.0
MedCaus," Scientists are now trying to develop synthetic vaccines by reconstructing the outside structure of a virus , this will help prevent vaccine resistance . ''",1.0,101.0,108.0,140.0
MedCaus," But he also argued that the animal spirits that moved around the body could distort the commands from the pineal gland , thus humans had to learn how to control their passions . ''",66.0,113.0,122.0,167.0
MedCaus, Phonotaxis is the movement of an organism in response to sound .,58.0,63.0,1.0,42.0
MedCaus," In addition , this study explains that females have the tendency to believe in external control at a higher rate than males , potentially making females more susceptible to mistrust and the effects of socioeconomic status on paranoia .",40.0,124.0,146.0,234.0
MedCaus," Gemmules are released when the parent body breaks down , and are capable of surviving harsh conditions . ''",23.0,50.0,1.0,13.0
MedCaus," The name is formed by changing the suffix - e of the parent alkane to - al , so that HCHO is named methanal , and CH3CH2CH2CHO is named butanal . ''",1.0,67.0,94.0,127.0
MedCaus, This image is generally created when a person 's brain begins making image corrections .,38.0,87.0,1.0,32.0
MedCaus," For him , the origin of vegetarianism was Demeter 's gift of wheat to Triptolemus so that he could teach agriculture to humanity . ''",9.0,70.0,86.0,120.0
MedCaus," This forced low - spin pairing is indeed thought to happen in iron when oxygen binds , but is not enough to explain iron 's change in size . ''",68.0,79.0,1.0,62.0
MedCaus," Scorponok violates this treaty on Nebulos , creating '' '' transformable men '' '' with the help of Mo Zarak 's corporation , but an attack by Ultra Magnus forces him to flee . ''",113.0,140.0,144.0,163.0
MedCaus," The number of leukocytes in the blood is often an indicator of disease , and thus the white blood cell count is an important subset of the complete blood count . ''",1.0,63.0,93.0,154.0
MedCaus," '' -LRB- In a more radical variation at the end of the last cut described , the butt of the orbitoclast was forced upwards so the tool cut vertically down the side of the cortex of the interhemispherical fissure ; the '' '' Deep frontal cut '' '' . -RRB- ''",75.0,115.0,124.0,204.0
MedCaus, The origin does not really play an essential part in the previous discussion so it can be added back in without changing the properties of the projective plane .,1.0,77.0,81.0,160.0
MedCaus," In response to these attacks , which cost Iraq billions of US dollars in lost oil - export revenues and repair costs , the US military set up the Task Force Shield to guard Iraq 's energy infrastructure and the Kirkuk - Ceyhan Oil Pipeline in particular . ''",13.0,21.0,219.0,243.0
MedCaus," Plants manufacture phytosterols -LRB- substances chemically similar to cholesterol -RRB- , which can compete with cholesterol for reabsorption in the intestinal tract , thus potentially reducing cholesterol reabsorption .",1.0,32.0,175.0,220.0
MedCaus," It contains components evolved to immobilize and disable the prey , as well as digestive enzymes which break down tissue to prepare for later ingestion . ''",122.0,142.0,77.0,114.0
MedCaus, The chief disadvantage is that it must be inserted and then travel through a relatively small peripheral vein which can take a less predictable course on the way to the superior vena cava and is therefore somewhat more time consuming and more technically difficult to place in some patients .,32.0,188.0,206.0,291.0
MedCaus," proposed in 1984 to elevate the family Acholeplasmataceae to the ordinal rank Acholeplasmatales , thus separating it from Mycoplasmatales . ''",1.0,78.0,99.0,122.0
MedCaus, Pollen does not move on its own and thus requires wind or animal pollinators to disperse the pollen to the stigma -LRB- botany -RRB- of the same or nearby flowers .,1.0,32.0,134.0,163.0
MedCaus," However , the general trend of high absorption coefficients and thus short penetration depths for low photon energies and high atomic numbers is very strong . ''",9.0,47.0,65.0,150.0
MedCaus," In 2015 and 2016 , transatlantic traffic grew , with 158 summer flights a week to North America , making it the sixth largest European hub for that route over the year .",20.0,96.0,106.0,168.0
MedCaus," Revelation 13:13,14 says , '' '' And he doeth great wonders , so that he maketh fire come down from heaven on the earth in the sight of men , and deceiveth them that dwell on the earth by the means of those miracles which he had power to do in the sight of the beast ; saying to them that dwell on the earth , that they should make an image to the beast , which had the wound by a sword , and did live . '' '' ''",255.0,257.0,137.0,175.0
MedCaus," Xenopus laevis is increasingly being displaced by its smaller relative , Xenopus tropicalis , which reaches its reproductive age in five months rather than the one to two years for X. laevis , thus facilitating faster studies across generations . ''",1.0,137.0,194.0,233.0
MedCaus," Some evidence indicates it inhibits the lipoxygenase pathways , thus reducing formation of the leukotrienes -LRB- also pro - inflammatory autacoids -RRB- . ''",1.0,53.0,65.0,95.0
MedCaus," It arises as a consequence of the failure to adapt to change or anicca -LRB- the second characteristic -RRB- and the insubstantiality , lack of fixed identity , the horrendous lack of certainty of anatta -LRB- the third characteristic -RRB- to which all this constant change in turn gives rise . ''",28.0,117.0,1.0,3.0
MedCaus," Greek compounds ending in - ŒµŒ?Œ ¥ ŒÆœÇ , when imported into Latin as a loanword , ended in - ides . ''",1.0,26.0,69.0,82.0
MedCaus," In plants , this structure coalesces into a cell plate at the center of the phragmoplast and develops into a cell wall , separating the two nuclei .",1.0,89.0,108.0,147.0
MedCaus," As Imperial administration expanded , however , new offices became necessary and decentralization demanded modifications . ''",1.0,27.0,47.0,67.0
MedCaus," But it can also present in a benign form involving only the subcutaneous tissue , thus having a broad clinical spectrum . ''",25.0,73.0,83.0,111.0
MedCaus," This inhibition enhances the effect of acetylcholine , making it useful for the treatment of cholinergic disorders and myasthenia gravis .",1.0,53.0,66.0,137.0
MedCaus, The batsman has to be very wary of such deliveries as they are often '' '' flighted '' '' or spun so that the ball will not behave quite as he expects and he could be '' '' trapped '' '' into getting himself out . '',52.0,87.0,94.0,137.0
MedCaus, There are concerns that rising sea levels will increase rates of disease .,25.0,42.0,48.0,73.0
MedCaus," Colon cells with reduced ability to undergo apoptosis in response to DNA damage would tend to accumulate mutations , and such cells may give rise to colon cancer . ''",67.0,73.0,116.0,155.0
MedCaus," The strength - duration curve for a typical nerve membrane is slightly skewed from the predicted graph , in that the curve flattens out in response to repetitive stimulation reaching an asymptote representing rheobase .",152.0,218.0,114.0,136.0
MedCaus," These are often used for contemplation ; walking among the turnings , one loses track of direction and of the outside world , and thus quiets the mind . ''",1.0,126.0,131.0,146.0
MedCaus, Commercial pines are grown in plantations for timber that is denser and therefore more durable than spruce -LRB- Picea -RRB- .,1.0,68.0,83.0,125.0
MedCaus," But in the case of most independent cities , the date is given by the name of an annual magistrate , and thus the year is precisely indicated . ''",1.0,101.0,106.0,132.0
MedCaus," By means of large demonstrations and direct action , which included the destruction of many highway tax portals , the movement successfully forced the French government to rescind the tax . ''",10.0,44.0,113.0,184.0
MedCaus," Tactical shields often have a firing port so that the officer holding the shield can fire a weapon while being protected by the shield , and they often have a bulletproof glass viewing port .",1.0,42.0,51.0,135.0
MedCaus, It is less resistant to chlorination than Perna viridis and thus easier to control .,1.0,56.0,66.0,83.0
MedCaus," Eventually , specialised shapes were developed such as the bouche , which had a lance rest cut into the upper corner of the lance side , to help guide it in combat or tournament .",141.0,178.0,56.0,135.0
MedCaus," The cleaved SNAP-25 is unable to mediate fusion of vesicles with the host cell membrane , thus preventing the release of the neurotransmitter acetylcholine from axon endings . ''",1.0,79.0,91.0,166.0
MedCaus," In some cultures , gargling is usually done in private , typically in a bathroom at a sink so the liquid can be rinsed away .",95.0,124.0,1.0,91.0
MedCaus, Some strains of Streptococcus bovis / Streptococcus equinus complex are consumed by millions of people daily and thus may be safe .,39.0,109.0,119.0,130.0
MedCaus," In some augmented reality applications that uses a 2D device as an interactive surface , the 2D control environment does not translate well in 3D space making users hesitant to explore their surroundings . ''",88.0,146.0,147.0,191.0
MedCaus, A common practice in chemical labs is to use steam -LRB- thus limiting the temperature to 100 ¬ ?,36.0,51.0,63.0,98.0
MedCaus," Some evidence indicates it inhibits the lipoxygenase pathways , thus reducing formation of the leukotrienes -LRB- also pro - inflammatory autacoids -RRB- .",25.0,62.0,70.0,108.0
MedCaus, A grading system has been developed to categorize the degree of skin involvement :,1.0,36.0,40.0,81.0
MedCaus, A methylsulfonamide group is added to reduce solubility in fats -LRB- lipophobicity -RRB- and thus reduce neurotoxic effects .,1.0,90.0,100.0,125.0
MedCaus, The gas being denser than air flowed downwards forcing troops to climb out of their trenches .,1.0,47.0,56.0,93.0
MedCaus," These include ceasing irrigation a few days before harvesting to allow pathogens to die off in the sunlight , applying water carefully so it does not contaminate leaves likely to be eaten raw , cleaning vegetables with disinfectant or allowing fecal sludge used in farming to dry before being used as a human manure . ''",109.0,125.0,266.0,309.0
MedCaus, Bisphosphonates inhibit osteoclastic bone resorption and therefore reduce bone remodeling and alleviate painful polyarthritis .,1.0,57.0,68.0,126.0
MedCaus," Generally , organisms with more complex nervous systems have a greater capacity to learn new responses and thus adjust their behavior . ''",11.0,93.0,108.0,125.0
MedCaus," New studies have shown that the use of smaller , more user friendly bio - assays are available to researchers so they can be used in the field for faster identification of chemical compounds . ''",48.0,98.0,111.0,181.0
MedCaus," Hence , if forced into the higher energy boat form , these methyl groups are in steric contact , repel one another , and drive the equilibrium toward the chair conformation . ''",52.0,87.0,96.0,160.0
MedCaus," The conclusion was that the increased binding energy of the -LSB- Rn -RSB- 5f136d17s2 configuration over the -LSB- Rn -RSB- 5f147s2 configuration for nobelium was not enough to compensate for the energy needed to promote one 5f electron to 6d , as is true also for the very late actinides : thus einsteinium , fermium , mendelevium , and nobelium were expected to be divalent metals , although for nobelium this prediction has not yet been confirmed .",25.0,289.0,297.0,383.0
MedCaus," British naval intelligence worked to convince Langsdorff that vastly superior forces were concentrating to destroy his ship , if he attempted to break out of the harbour . ''",127.0,162.0,58.0,119.0
MedCaus, Stukov is later mysteriously revived by a Zerg cerebrate to make use of him for its own deeds .,1.0,57.0,61.0,94.0
MedCaus," Siemens , Karl Storz and IRCAD have developed a system for laparoscopic liver surgery that uses AR to view sub - surface tumors and vessels . ''",9.0,96.0,97.0,132.0
MedCaus," The reconstruction of the city centre , effected during subsequent years , profoundly changed its appearance and left numerous traces still visible today . ''",41.0,148.0,1.0,31.0
MedCaus, Many regulators have an adjustment to change the ease of inhaling so that breathing is effortless .,22.0,66.0,75.0,98.0
MedCaus," Since he pushes the seat toward the right , Newton 's third law says that the seat pushes him toward the left .",7.0,42.0,75.0,110.0
MedCaus," Railways to the front were expanded or built , leaving the question of the last mile . ''",1.0,39.0,46.0,80.0
MedCaus," The commercialization of the genre stripped it of its earlier political nature and the politics and marketing plans of major record labels have forced rappers to craft their music and images to appeal to white , affluent and suburban audiences . ''",80.0,132.0,145.0,234.0
MedCaus," The third principle , the speed up principle states that long term memory encoding and retrieval operations speed up with practice , so that their speed and accuracy approach the speed and accuracy of short term memory storage and retrieval . ''",53.0,122.0,137.0,231.0
MedCaus, Cytological specimens must be properly prepared so that the cells are not damaged .,1.0,48.0,57.0,82.0
MedCaus, The zipper teeth are shaped and sized so that the forces which act on the zipper when the garment it is sewn on is worn can not unlock the teeth .,1.0,38.0,47.0,145.0
MedCaus," Goryeo unified the Later Three Kingdoms and received the last crown prince and much of the ruling class of Balhae , thus bringing about a unification of the two successor nations of Goguryeo .",1.0,114.0,122.0,191.0
MedCaus, These films expanded the appeal of hip hop beyond the boundaries of New York .,1.0,12.0,22.0,77.0
MedCaus," As the pressure rises within the cavities of the ventricles , the mitral and tricuspid valves are forced shut . ''",1.0,49.0,61.0,105.0
MedCaus, Paget 's nonconformity forced him to leave Nantwich .,1.0,34.0,38.0,52.0
MedCaus," Just beneath the arch lies a small plate - like pleurocentrum , which protects the upper surface of the notochord , and below that , a larger arch - shaped intercentrum to protect the lower border .",173.0,197.0,121.0,169.0
MedCaus," The MOBO Awards were held at the SECC on 30 September 2009 , making Glasgow the first out - of - London city to host the event since its launch in 1995 .",1.0,59.0,69.0,152.0
MedCaus," Civilizations arose in response to some set of challenges of extreme difficulty , when '' '' creative minorities '' '' devised solutions that reoriented their entire society . ''",33.0,69.0,1.0,14.0
MedCaus," The bound , selected phages can be multiplied by reinfecting a susceptible bacterial strain , thus allowing them to retrieve the peptides encoded in them for further study . ''",1.0,85.0,95.0,166.0
MedCaus," To achieve lasting change , it is important to enact legislation and develop policies that protect women ; address discrimination against women and promote gender equality ; and help to move the culture away from violence . ''",173.0,213.0,1.0,19.0
MedCaus," The higher the sugar content , the denser the solution , and thus the higher the bulb will float . ''",1.0,46.0,62.0,91.0
MedCaus, Flocks of sheep need to keep moving to find new grazing areas and more favourable weather as the seasons change .,1.0,36.0,40.0,112.0
MedCaus, Rachel therefore gave Leah the signs so that Jacob would not realize the switch .,1.0,37.0,46.0,80.0
MedCaus, However the inhibitor reduces the catalytic efficiency of the enzyme so that Vmax is reduced .,9.0,69.0,78.0,93.0
MedCaus," Dogs which display coprophagy , that is , which often eat feces , and which live in a household with a dog receiving levothyroxine treatment , may develop hyperthryoidism if they frequently eat the feces from the dog receiving levothyroxine treatment . ''",172.0,241.0,142.0,155.0
MedCaus," Eventually the Senate was forced to give in and , in return , Claudius pardoned nearly all the assassins . ''",1.0,41.0,61.0,95.0
